TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,sha256
TEAM BEVEL,1,adewale-the-amebo,adewale the amebo,Adewale likes to be in everyone's business. ,Male,hair: bald; eyes: black; teeth: none; clothing: red; accessories: mask; expression: none; strength: powerful; weakness: curiosity,cad316c3-37f8-4b27-9f53-9d803bfcfee7,6b1436df59a2147a55f64be8c6d9ec58870f4475ef309cb6bd8815ffea7a3c91
,2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,Male,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none: strength: powerful; weakness: none,a57ecda4-a26f-4e97-a757-e1800af39aab,75e8c8c0b300bba75f48ec66f49b9d8be493bfab952f6560261d84f33b20eabb
,3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,Female,hair: brown bun; eyes: none; teeth: none; clothing: yellow; accessories: glasses; expression: blank; strength: none; weakness: attitude,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,a7ae4b1d79bab7fcdc9268ab292617867077543ab8f781f42968c986b81c1ab0
,4,aminu-the-carpenter,aminu the carpenter,Aminu's hands are blessed; he makes the best furniture in the whole of Kano.,Male,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: powerful; weakness: none,4f30b751-96e7-40fe-97fd-e3d44973ff2f,33bfe44b22ef3966d05dc5ce5900947a78a97b190c9a51451b042bf09bf42cdc
,5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,Male,hair: bald; eyes: black; teeth: none; clothing: blue; accessories: mask; expression: none; strength: hustler; weakness: none,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,07c834aa1e80d9167685e8c14233b33f28ee60372e8a116d0bbcd6c20544d607
,6,chidinma-the-model,chidinma the model,From Paris' runways; to London's streets; she's always in demand.,Female,hair: brown hair; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: hardworking; weakness: none,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,34b9cc259c6622a89850c86e30b4f72c7e01f4a3e72b61671517e4089b794aa7
,7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,Female,hair: dreads; eyes: none; teeth: none; clothing: multicolored; accessories: glasses; expression: none; strength: none; weakness: none,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,2602f71068adb1795e524b407629b8fe58de41d0539dba8ef0e0cecf45796326
,8,damilare-the-handsome,damilare the handsome,He's a fine boy; proper eye candy. ,Male,hair: bald; eyes: white; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none,27eca2dc-d7df-474a-8f8f-1858152c711e,7f7b3562346280f29b345dec19258e1110a7ba079c26cd62e611f13519411023
,9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,Male,hair: bald; eyes: none; teeth: none; clothing: multicolored; accessories: none; expression: none; strength: powerful; weakness: none,f1df8270-4d60-4bd4-8959-ba7c384db5c4,4eccc2a12bba8efe5eb96a77d9cbc20abd5ce6a63c30612bdc3519553719f19d
,10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,Male,hair: bald; eyes: white; teeth: none; clothing: orange; accessories: mask; expression: none; strength: hard worker; weakness: none,9b3d75da-4887-4089-aee4-50de3954fdc9,baa15b3456f64b513d86e9570ee4d192a5a1f89ee4a5e54a4b230920e8da912e
,11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,Male,hair: bald; eyes: blue; teeth: none; clothing: yellow; accessories: mask; expression: none; strength: none; weakness: none,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,526680a27b26922b1c2cbac302e282456eaf9a72c52c8bf0bcf8fc2f2130aff1
